colour	x	y	showSelectedlegendcolour	fill
#F564E3	19.199401409179	28.6671826934442	US	#F564E3
#F564E3	27.6034174902365	28.0395830525085	US	#F564E3
#F564E3	33.72675827723	25.7370870068669	US	#F564E3
#F564E3	33.2255084538832	27.8723719226196	US	#F564E3
#F564E3	28.3727403208613	29.0093590460718	US	#F564E3
#00BFC4	20.0207009345293	31.9507484821603	IN	#00BFC4
#F564E3	36.3733138669282	29.8498896835372	US	#F564E3
#F564E3	29.6170131715015	33.3286328062415	US	#F564E3
#00BFC4	30.698507216759	30.1630616176873	IN	#00BFC4
#F564E3	26.6673375444487	29.663847177662	US	#F564E3
#F564E3	34.2279384683818	29.3468554623425	US	#F564E3
#F564E3	29.7165782919154	31.3800925057381	US	#F564E3
#F564E3	25.2857222465798	25.7750020675361	US	#F564E3
#F564E3	27.7489371763542	33.1811109311879	US	#F564E3
#00BA38	24.3159867575392	29.7648608582094	GB	#00BA38
#F564E3	25.6883386399597	28.2233886109665	US	#F564E3
#F564E3	19.0124752871692	27.0420836882666	US	#F564E3
#F564E3	30.3349588157609	28.2127400150523	US	#F564E3
#B79F00	25.748440261744	33.2626374203712	CA	#B79F00
#F564E3	25.2608973937109	36.2127563007176	US	#F564E3
#F564E3	34.6196637185291	31.7621332054958	US	#F564E3
#F564E3	25.3577473284677	31.3152761310339	US	#F564E3
#F564E3	37.1549960449338	34.7607404721901	US	#F564E3
#F564E3	34.0223569130525	28.8918585611507	US	#F564E3
#F564E3	27.3030660703778	35.2643733805046	US	#F564E3
#F564E3	25.8052580637857	28.329235452041	US	#F564E3
#F564E3	32.2246368095279	30.6926232334226	US	#F564E3
#00BA38	32.0278396155685	32.1651829969138	GB	#00BA38
#F564E3	34.0317222010344	25.7683114403859	US	#F564E3
#00BA38	24.7273386761546	31.1866425568238	GB	#00BA38
#F564E3	28.235746899806	23.9320551211014	US	#F564E3
#F564E3	27.0788720933721	32.2087239995599	US	#F564E3
#F564E3	28.6922602310777	26.6193053979427	US	#F564E3
#F564E3	22.3444478858262	21.9989151233807	US	#F564E3
#F564E3	38.1506007643417	36.171334660612	US	#F564E3
#F564E3	33.3593741746619	29.9289318675175	US	#F564E3
#F564E3	36.7452243609354	26.701575540565	US	#F564E3
#B79F00	35.1259229397401	36.3714823879302	CA	#B79F00
#F564E3	29.0256511762738	35.9290597889572	US	#F564E3
#F564E3	28.7698100715876	31.7397833747789	US	#F564E3
#00BFC4	19.8747400932014	28.906695955433	IN	#00BFC4
#F564E3	40.9600927561522	34.3410382021219	US	#F564E3
#F564E3	31.7145678486675	29.9648369992152	US	#F564E3
#00BA38	42.1907414754853	32.1719584757462	GB	#00BA38
#F564E3	34.7763599960133	24.694848811999	US	#F564E3
#00BFC4	17.943368351832	26.6943293912336	IN	#00BFC4
#F564E3	29.8809943027794	28.2540316695347	US	#F564E3
#F564E3	30.2947882486507	31.8182585705072	US	#F564E3
#00BA38	30.9215714883059	24.9106276581064	GB	#00BA38
#F564E3	28.0358292309567	30.774206921272	US	#F564E3
#F564E3	31.1547641634941	26.8465136907995	US	#F564E3
#F564E3	26.0199309648946	29.0840026335791	US	#F564E3
#F564E3	35.6876724427566	34.9366002421826	US	#F564E3
#F564E3	23.1450648520142	27.8534307636321	US	#F564E3
#B79F00	21.1549540651962	29.3035612657666	CA	#B79F00
#F564E3	28.0440713271499	33.1035027157515	US	#F564E3
#00BFC4	43.0284784436226	41.0147707402706	IN	#00BFC4
#F564E3	22.0000735210255	33.0009844223037	US	#F564E3
#F564E3	34.8209369437769	31.0986275682226	US	#F564E3
#F564E3	22.3648323621601	28.6573940448463	US	#F564E3
#F564E3	36.0152554977685	29.1150245577097	US	#F564E3
#F564E3	27.1214648585767	34.774974299781	US	#F564E3
#F564E3	33.1907490983605	29.6830164665356	US	#F564E3
#00BA38	30.8693806204945	35.2912510912865	GB	#00BA38
#00BA38	40.6761662093923	37.2368632420898	GB	#00BA38
#F564E3	27.7484808420762	28.6698885357007	US	#F564E3
