colour	x	y	showSelectedlegendcolour	fill
#F564E3	19.1047054257244	28.8878337984905	US	#F564E3
#F564E3	28.062843885459	28.2210907712579	US	#F564E3
#F564E3	34.2790533514693	26.1217230776325	US	#F564E3
#F564E3	33.1756634783	27.7753170151264	US	#F564E3
#F564E3	27.694529462792	29.2830254824832	US	#F564E3
#00BFC4	20.2305302293971	31.621901114285	IN	#00BFC4
#F564E3	35.6393287891522	30.1674624837935	US	#F564E3
#F564E3	30.1084411099553	33.0533196249977	US	#F564E3
#00BFC4	30.9344875823706	29.65420762375	IN	#00BFC4
#F564E3	26.7739722929895	29.7883678970858	US	#F564E3
#F564E3	33.6205734055489	28.9362278394401	US	#F564E3
#F564E3	29.6217105681077	31.0403675762937	US	#F564E3
#F564E3	24.6905669651926	25.7067161802203	US	#F564E3
#F564E3	28.1758706696332	33.3914653725922	US	#F564E3
#00BA38	24.3118948820978	30.3021249454469	GB	#00BA38
#F564E3	26.214471931383	27.762091582641	US	#F564E3
#F564E3	18.6248907588422	27.0750752685592	US	#F564E3
#F564E3	30.1117756068707	27.6390517923981	US	#F564E3
#B79F00	25.9070405723527	33.3700505364686	CA	#B79F00
#F564E3	24.6927068524063	36.0967166315764	US	#F564E3
#F564E3	34.944437613897	32.2566186331213	US	#F564E3
#F564E3	25.2165202204138	31.2498771412298	US	#F564E3
#F564E3	37.1916224870831	34.8871963437647	US	#F564E3
#F564E3	33.6097930097953	29.3622654950246	US	#F564E3
#F564E3	26.806265649572	35.2653036477044	US	#F564E3
#F564E3	26.1263658478856	28.217669175379	US	#F564E3
#F564E3	32.0496552472934	31.1021917130798	US	#F564E3
#00BA38	31.6135718636215	32.1617630280554	GB	#00BA38
#F564E3	33.7738591950387	26.2377297492698	US	#F564E3
#00BA38	24.6742644695565	31.3322663910687	GB	#00BA38
#F564E3	28.3776649797335	23.8754204381257	US	#F564E3
#F564E3	27.2786196593195	32.0274657828733	US	#F564E3
#F564E3	29.1938702270389	27.1114780141041	US	#F564E3
#F564E3	21.7076135821641	21.6114472636953	US	#F564E3
#F564E3	37.8967722313479	36.1516877414659	US	#F564E3
#F564E3	32.9856332471594	30.0142257366329	US	#F564E3
#F564E3	37.2466567717493	26.87797965426	US	#F564E3
#B79F00	35.0547312462702	35.8261120097712	CA	#B79F00
#F564E3	28.9281585760415	35.7728021342307	US	#F564E3
#F564E3	29.3289924195036	31.9434758020565	US	#F564E3
#00BFC4	20.3888019934297	28.6018585504964	IN	#00BFC4
#F564E3	40.995576515235	34.1172577816993	US	#F564E3
#F564E3	31.6823770741001	30.0437760820612	US	#F564E3
#00BA38	42.3247406583279	31.8425339128822	GB	#00BA38
#F564E3	35.3059793774039	25.3029172567651	US	#F564E3
#00BFC4	17.6869955468923	26.7414202038199	IN	#00BFC4
#F564E3	30.2795430121943	27.6867257095873	US	#F564E3
#F564E3	29.6360260179266	32.0527441075072	US	#F564E3
#00BA38	30.7954017158598	25.1579041929916	GB	#00BA38
#F564E3	27.8383298847824	30.9886384151876	US	#F564E3
#F564E3	31.1904694454744	27.3376018757001	US	#F564E3
#F564E3	26.3906027927995	28.7291614063084	US	#F564E3
#F564E3	36.3337858928368	34.8543464053422	US	#F564E3
#F564E3	23.1238715548068	27.8698759838939	US	#F564E3
#B79F00	20.7788018919528	29.3592564782128	CA	#B79F00
#F564E3	28.2560649903491	33.2350498083979	US	#F564E3
#00BFC4	43.0015119878575	41.2998490275815	IN	#00BFC4
#F564E3	21.9413271795958	33.1562289278954	US	#F564E3
#F564E3	34.9359047444537	30.9258940726519	US	#F564E3
#F564E3	22.2448430571705	29.1438402654603	US	#F564E3
#F564E3	35.9300064958632	29.2316058479249	US	#F564E3
#F564E3	26.8084719724953	35.2064221687615	US	#F564E3
#F564E3	33.3105107016861	29.7303375761956	US	#F564E3
#00BA38	31.3954248633236	34.7363286469132	GB	#00BA38
#00BA38	41.2940971024334	37.2554892085493	GB	#00BA38
#F564E3	28.2521325638518	28.8207946324721	US	#F564E3
#F564E3	27.1719203263521	30.2527551939711	US	#F564E3
#F564E3	28.1032595213503	27.668749643676	US	#F564E3
#00BA38	32.6554930793122	29.6449863346294	GB	#00BA38
#F564E3	21.2053777948022	33.8535181889311	US	#F564E3
#00BA38	25.7490071536973	29.1532568991184	GB	#00BA38
#F564E3	31.1239744529128	30.2095765177161	US	#F564E3
#F564E3	29.9545411869884	34.3709791025147	US	#F564E3
#F564E3	26.2163181759417	38.0386106483638	US	#F564E3
#F564E3	34.8362422574312	27.3450001990423	US	#F564E3
#F564E3	28.3525526102632	36.8573269486427	US	#F564E3
#F564E3	21.992752173543	25.0624030247331	US	#F564E3
#F564E3	35.134930209443	28.2722162466496	US	#F564E3
#F564E3	37.2368302373216	34.6972896967083	US	#F564E3
#F564E3	13.8035804821178	29.7060759836808	US	#F564E3
#F564E3	22.2412721503526	30.0656511677429	US	#F564E3
#F564E3	28.0486231923103	27.1559332543984	US	#F564E3
#F564E3	28.820827428624	32.1731466541067	US	#F564E3
#F564E3	31.388257269375	30.1072720978409	US	#F564E3
#F564E3	26.0922391418368	32.7614516874775	US	#F564E3
#F564E3	25.3126566167921	30.152989628911	US	#F564E3
#F564E3	20.9813616948202	26.9088714037091	US	#F564E3
#F564E3	36.3513723691925	27.241980355233	US	#F564E3
#F564E3	29.9287954876199	32.0351311095059	US	#F564E3
#00BA38	29.2145664641634	33.0732219435275	GB	#00BA38
#F564E3	32.2414626637474	30.7279237817973	US	#F564E3
#F564E3	26.0729095956311	30.0686985291541	US	#F564E3
#00BA38	24.6323469871655	27.1581577066332	GB	#00BA38
#F564E3	24.752567492798	27.81360206604	US	#F564E3
#00BA38	29.0545561347157	28.0457770219073	GB	#00BA38
#F564E3	34.9443283936009	32.8161106677726	US	#F564E3
#619CFF	26.934954449907	30.7260809609667	PH	#619CFF
#F564E3	21.3927013613284	32.3287664888427	US	#F564E3
#B79F00	25.2091344136745	28.3549931496382	CA	#B79F00
#B79F00	20.2929093567655	26.7621108643711	CA	#B79F00
#F564E3	35.6223397066817	29.3239123562351	US	#F564E3
#F564E3	24.3338177699596	28.9155760016292	US	#F564E3
#F564E3	33.6726365013048	28.8832773303613	US	#F564E3
#F564E3	27.8999485766515	30.2690227201209	US	#F564E3
#F564E3	25.8630520310253	29.1626705404371	US	#F564E3
#F564E3	23.280024240166	31.9798528725281	US	#F564E3
#F564E3	33.0912691527978	33.9417556475848	US	#F564E3
#F564E3	33.1637815859169	27.6740975717083	US	#F564E3
#F564E3	34.6086872074753	29.8626000197604	US	#F564E3
#F8766D	21.6026742637157	24.6351666353643	AU	#F8766D
#F564E3	22.7460035564378	29.8104182023555	US	#F564E3
#F564E3	23.7609378870577	30.2086350886151	US	#F564E3
#B79F00	33.0644379975274	30.2124125367031	CA	#B79F00
#B79F00	27.8089309491217	29.941596432589	CA	#B79F00
#00BFC4	26.8805431446061	33.2333197260276	IN	#00BFC4
#F564E3	40.1508279392496	33.2135923342779	US	#F564E3
#B79F00	28.3322262557223	33.287032934092	CA	#B79F00
#F564E3	26.678993562609	30.1115496858954	US	#F564E3
#F564E3	26.3227359523997	27.8434577822685	US	#F564E3
#F564E3	16.6451748125255	30.0785757489502	US	#F564E3
#F564E3	34.8464393405244	33.7560622192919	US	#F564E3
#619CFF	25.6482116186991	27.863478589803	PH	#619CFF
#F564E3	29.9389543859288	36.3723281655461	US	#F564E3
#F564E3	32.9970762468875	36.1323857061565	US	#F564E3
#F8766D	24.3620089933276	28.9788222946227	AU	#F8766D
#00BFC4	27.1337125135586	33.3739085961133	IN	#00BFC4
#F8766D	33.7957156343386	32.7191009452567	AU	#F8766D
#B79F00	25.8440328206867	28.880047311075	CA	#B79F00
#F564E3	36.3701423302293	29.9035239199176	US	#F564E3
#F564E3	21.336873202771	27.9760155681521	US	#F564E3
#B79F00	25.0039233542979	29.937854401581	CA	#B79F00
#F8766D	30.8268755244091	26.2116153605282	AU	#F8766D
#F564E3	35.7622092671692	33.2428044788539	US	#F564E3
#B79F00	32.0555611744523	28.6336981814355	CA	#B79F00
#F564E3	21.750516615808	27.3364797325805	US	#F564E3
#F564E3	24.1075154352933	31.9145790845156	US	#F564E3
#F564E3	23.6327784825116	36.6661616425961	US	#F564E3
#F564E3	35.9545974386856	31.6706578075886	US	#F564E3
#00BFC4	31.6486327219755	31.9503477318212	IN	#00BFC4
#F564E3	28.1213035497814	33.3597285274416	US	#F564E3
#00BFC4	32.298299119994	30.0974005224183	IN	#00BFC4
#00BFC4	28.3425090700388	31.7319914173335	IN	#00BFC4
#F564E3	36.2388007756323	30.0232820864767	US	#F564E3
#F564E3	43.6795794289559	37.835732139647	US	#F564E3
#F564E3	36.1461239703	38.983031529747	US	#F564E3
#F564E3	37.7301844777539	33.2229889437556	US	#F564E3
#F564E3	30.3163026019931	32.6979995088652	US	#F564E3
#F8766D	29.1996762510389	28.9722839843482	AU	#F8766D
#F564E3	28.0089402733371	32.7502420214936	US	#F564E3
#00BFC4	22.9099505227059	32.1694126099348	IN	#00BFC4
#00BFC4	31.1980181543157	29.3665338538587	IN	#00BFC4
#F564E3	32.7422388229519	33.9598449965939	US	#F564E3
#00BFC4	42.1536055518314	39.0640002006665	IN	#00BFC4
#F564E3	24.6790188489482	32.175035113655	US	#F564E3
#00BFC4	29.3172835623846	30.9523122977465	IN	#00BFC4
#F564E3	23.3030545791611	31.9578716527671	US	#F564E3
#F564E3	31.2027061458677	28.6599498262629	US	#F564E3
#F8766D	41.6142882291228	36.6384264102206	AU	#F8766D
#F8766D	35.0308896780014	30.6096177980304	AU	#F8766D
#00BA38	20.2721249433234	32.7250590998679	GB	#00BA38
#00BA38	33.0808187499642	34.2682217175141	GB	#00BA38
#F8766D	27.3123990833759	32.9433817865327	AU	#F8766D
#00BFC4	33.748596124351	32.1647939674556	IN	#00BFC4
#00BA38	36.2719442831352	29.8248469242826	GB	#00BA38
#00BA38	36.1893994044513	26.8377377498895	GB	#00BA38
#F8766D	22.1075600193813	26.7360992645845	AU	#F8766D
