colour	x	y	showSelectedlegendcolour	fill
#F564E3	29	28	US	#F564E3
#F564E3	32	26	US	#F564E3
#F564E3	32	28	US	#F564E3
#F564E3	25	32	US	#F564E3
#F564E3	37	31	US	#F564E3
#F564E3	33	29	US	#F564E3
#00BFC4	28	32	IN	#00BFC4
#F564E3	29	30	US	#F564E3
#F564E3	38	25	US	#F564E3
#F564E3	31	32	US	#F564E3
#F564E3	23	26	US	#F564E3
#F564E3	32	32	US	#F564E3
#00BA38	26	28	GB	#00BA38
#F564E3	29	26	US	#F564E3
#F564E3	32	27	US	#F564E3
#B79F00	28	33	CA	#B79F00
#F564E3	28	35	US	#F564E3
#F564E3	34	34	US	#F564E3
#F564E3	28	30	US	#F564E3
#F564E3	39	32	US	#F564E3
#F564E3	36	29	US	#F564E3
#F564E3	30	32	US	#F564E3
#F564E3	26	30	US	#F564E3
#F564E3	35	32	US	#F564E3
#00BA38	31	30	GB	#00BA38
#F564E3	37	23	US	#F564E3
#00BA38	25	31	GB	#00BA38
#F564E3	29	24	US	#F564E3
#F564E3	26	31	US	#F564E3
#F564E3	31	25	US	#F564E3
#F564E3	33	29	US	#F564E3
#F564E3	38	28	US	#F564E3
#B79F00	38	33	CA	#B79F00
#F564E3	33	35	US	#F564E3
#F564E3	28	30	US	#F564E3
#F564E3	35	26	US	#F564E3
#F564E3	35	23	US	#F564E3
#00BFC4	22	24	IN	#00BFC4
#F564E3	32	28	US	#F564E3
#F564E3	32	30	US	#F564E3
#00BA38	35	22	GB	#00BA38
#F564E3	32	27	US	#F564E3
#F564E3	35	26	US	#F564E3
#F564E3	27	31	US	#F564E3
#F564E3	37	34	US	#F564E3
#F564E3	23	31	US	#F564E3
#B79F00	22	28	CA	#B79F00
#F564E3	27	32	US	#F564E3
#F564E3	23	35	US	#F564E3
#F564E3	39	28	US	#F564E3
#F564E3	24	29	US	#F564E3
#F564E3	40	25	US	#F564E3
#F564E3	30	31	US	#F564E3
#F564E3	36	29	US	#F564E3
#00BA38	35	32	GB	#00BA38
#F564E3	30	29	US	#F564E3
#F564E3	29	31	US	#F564E3
#F564E3	26	29	US	#F564E3
#00BA38	32	29	GB	#00BA38
#F564E3	24	31	US	#F564E3
#00BA38	28	28	GB	#00BA38
#F564E3	28	34	US	#F564E3
#F564E3	31	35	US	#F564E3
#F564E3	28	37	US	#F564E3
#F564E3	36	24	US	#F564E3
#F564E3	31	34	US	#F564E3
#F564E3	23	26	US	#F564E3
#F564E3	38	25	US	#F564E3
#F564E3	37	32	US	#F564E3
#F564E3	24	32	US	#F564E3
#F564E3	30	26	US	#F564E3
#F564E3	32	30	US	#F564E3
#F564E3	33	28	US	#F564E3
#F564E3	28	30	US	#F564E3
#F564E3	28	29	US	#F564E3
#F564E3	21	29	US	#F564E3
#F564E3	34	31	US	#F564E3
#F564E3	33	30	US	#F564E3
#00BA38	28	34	GB	#00BA38
#F564E3	35	29	US	#F564E3
#F564E3	28	32	US	#F564E3
#00BA38	24	30	GB	#00BA38
#F564E3	25	32	US	#F564E3
#00BA38	31	26	GB	#00BA38
#F564E3	39	33	US	#F564E3
#619CFF	28	31	PH	#619CFF
#F564E3	22	31	US	#F564E3
#B79F00	28	29	CA	#B79F00
#B79F00	22	27	CA	#B79F00
#F564E3	38	30	US	#F564E3
#F564E3	27	26	US	#F564E3
#F564E3	34	26	US	#F564E3
#F564E3	31	29	US	#F564E3
#F564E3	27	31	US	#F564E3
#F564E3	25	32	US	#F564E3
#F564E3	34	31	US	#F564E3
#F564E3	34	29	US	#F564E3
#F564E3	36	30	US	#F564E3
#F8766D	22	25	AU	#F8766D
#F564E3	23	30	US	#F564E3
#F564E3	27	27	US	#F564E3
#B79F00	35	30	CA	#B79F00
#B79F00	29	30	CA	#B79F00
#00BFC4	26	32	IN	#00BFC4
#B79F00	28	33	CA	#B79F00
#F564E3	30	27	US	#F564E3
#F564E3	28	28	US	#F564E3
#F564E3	38	31	US	#F564E3
#619CFF	29	26	PH	#619CFF
#F564E3	34	32	US	#F564E3
#F564E3	36	36	US	#F564E3
#F8766D	26	30	AU	#F8766D
#00BFC4	23	34	IN	#00BFC4
#F8766D	37	33	AU	#F8766D
#B79F00	28	27	CA	#B79F00
#F564E3	40	27	US	#F564E3
#B79F00	25	34	CA	#B79F00
#F8766D	34	22	AU	#F8766D
#F564E3	38	31	US	#F564E3
#B79F00	33	29	CA	#B79F00
#F564E3	22	31	US	#F564E3
#F564E3	20	33	US	#F564E3
#F564E3	25	37	US	#F564E3
#F564E3	40	29	US	#F564E3
#00BFC4	31	33	IN	#00BFC4
#F564E3	31	32	US	#F564E3
#00BFC4	31	29	IN	#00BFC4
#00BFC4	29	32	IN	#00BFC4
#F564E3	36	29	US	#F564E3
#F564E3	39	37	US	#F564E3
#F564E3	29	35	US	#F564E3
#F8766D	28	31	AU	#F8766D
#F564E3	26	31	US	#F564E3
#00BFC4	23	32	IN	#00BFC4
#00BFC4	27	32	IN	#00BFC4
#F564E3	31	33	US	#F564E3
#F564E3	23	35	US	#F564E3
#00BFC4	27	33	IN	#00BFC4
#F564E3	22	31	US	#F564E3
#F564E3	33	29	US	#F564E3
#F8766D	40	35	AU	#F8766D
#F8766D	39	31	AU	#F8766D
#00BA38	20	33	GB	#00BA38
#00BA38	33	31	GB	#00BA38
#F8766D	30	32	AU	#F8766D
#00BFC4	33	33	IN	#00BFC4
#00BA38	38	31	GB	#00BA38
#00BA38	39	25	GB	#00BA38
#F8766D	25	27	AU	#F8766D
#F564E3	37	28	US	#F564E3
#F8766D	35	34	AU	#F8766D
#00BFC4	29	32	IN	#00BFC4
#00BA38	36	32	GB	#00BA38
#00BA38	30	27	GB	#00BA38
#00BA38	31	34	GB	#00BA38
#00BA38	31	27	GB	#00BA38
#00BFC4	38	32	IN	#00BFC4
#00BA38	40	26	GB	#00BA38
#F564E3	38	27	US	#F564E3
#B79F00	36	33	CA	#B79F00
#00BFC4	35	32	IN	#00BFC4
#619CFF	24	34	PH	#619CFF
#F564E3	23	30	US	#F564E3
#00BFC4	35	36	IN	#00BFC4
#00BFC4	29	36	IN	#00BFC4
#619CFF	35	34	PH	#619CFF
#F564E3	29	28	US	#F564E3
#F8766D	34	28	AU	#F8766D
#619CFF	34	35	PH	#619CFF
#00BA38	28	27	GB	#00BA38
#F564E3	30	33	US	#F564E3
#00BFC4	32	26	IN	#00BFC4
#00BA38	28	31	GB	#00BA38
#F564E3	31	29	US	#F564E3
#00BA38	36	34	GB	#00BA38
#00BA38	30	34	GB	#00BA38
#00BA38	25	32	GB	#00BA38
#00BA38	40	32	GB	#00BA38
#619CFF	26	33	PH	#619CFF
#F564E3	27	30	US	#F564E3
#F564E3	36	28	US	#F564E3
#F564E3	27	35	US	#F564E3
#F564E3	26	28	US	#F564E3
#F564E3	30	32	US	#F564E3
#F564E3	39	29	US	#F564E3
#F564E3	24	27	US	#F564E3
#F564E3	26	33	US	#F564E3
#F564E3	40	39	US	#F564E3
#F564E3	30	34	US	#F564E3
#F564E3	30	37	US	#F564E3
#F564E3	35	32	US	#F564E3
#F564E3	22	31	US	#F564E3
#F564E3	37	38	US	#F564E3
#F564E3	22	33	US	#F564E3
#F564E3	21	33	US	#F564E3
#F564E3	27	32	US	#F564E3
#F564E3	25	33	US	#F564E3
#F564E3	21	32	US	#F564E3
#F564E3	29	29	US	#F564E3
#F8766D	23	28	AU	#F8766D
#00BFC4	29	30	IN	#00BFC4
#F564E3	29	29	US	#F564E3
#F564E3	36	34	US	#F564E3
#B79F00	32	34	CA	#B79F00
#F564E3	31	26	US	#F564E3
#F564E3	33	36	US	#F564E3
#F564E3	28	35	US	#F564E3
#F564E3	29	32	US	#F564E3
#F564E3	32	37	US	#F564E3
#F564E3	25	33	US	#F564E3
#F564E3	35	29	US	#F564E3
#F564E3	22	30	US	#F564E3
#F564E3	29	31	US	#F564E3
#F564E3	31	29	US	#F564E3
