colour	x	y	showSelectedlegendcolour	fill
#F564E3	31.3408961486071	32.090365233086	US	#F564E3
#F564E3	27.8294982325286	27.9311999140307	US	#F564E3
#F564E3	25.8057302331552	26.3874389106408	US	#F564E3
#F564E3	36.7743262927979	27.6502271384001	US	#F564E3
#F564E3	30.2496970076114	31.8967769190669	US	#F564E3
#00BFC4	30.1615492587909	34.9232032228261	IN	#00BFC4
#F564E3	35.2890043938532	30.8792595613748	US	#F564E3
#F564E3	32.0982689682394	29.2210023289546	US	#F564E3
#00BFC4	33.988946024701	31.644048515521	IN	#00BFC4
#F564E3	33.1589896019548	29.8604082157835	US	#F564E3
#F564E3	33.2550441365689	24.8098520021886	US	#F564E3
#F564E3	32.0424589719623	32.087917673029	US	#F564E3
#F564E3	30.3006008340046	26.2962361015379	US	#F564E3
#F564E3	28.0300866797566	32.1422978984192	US	#F564E3
#00BA38	32.0557115821168	27.8844204736874	GB	#00BA38
#F564E3	23.2280899679288	25.8248085033149	US	#F564E3
#F564E3	31.0444734433666	27.8270269388333	US	#F564E3
#F564E3	32.3198319565505	26.9425554862246	US	#F564E3
#B79F00	33.0753942534328	32.7417205674574	CA	#B79F00
#F564E3	34.618413377367	35.1605978999287	US	#F564E3
#F564E3	35.749878725037	33.8371435908601	US	#F564E3
#F564E3	30.0814992692322	30.2067549129948	US	#F564E3
#F564E3	27.6647457236424	31.929941159673	US	#F564E3
#F564E3	22.6885928370059	29.2347127281129	US	#F564E3
#F564E3	31.2403583867475	32.389943202585	US	#F564E3
#F564E3	34.3903947165236	30.0364538837224	US	#F564E3
#F564E3	21.6187195552513	32.3439645770937	US	#F564E3
#00BA38	32.7975858487189	29.604956961982	GB	#00BA38
#F564E3	30.7425911488012	23.1011910093948	US	#F564E3
#00BA38	33.9590165132657	31.3489053104073	GB	#00BA38
#F564E3	28.3583533512428	24.0861619912088	US	#F564E3
#F564E3	31.6559613581747	31.3676634458825	US	#F564E3
#F564E3	32.8073333784938	25.2968263786286	US	#F564E3
#F564E3	25.7183454621583	25.7524499936029	US	#F564E3
#F564E3	34.2662055050954	35.3480468206108	US	#F564E3
#F564E3	31.0372659975663	29.0145753610879	US	#F564E3
#F564E3	33.9114850006998	28.0835395008326	US	#F564E3
#B79F00	34.6533440744504	32.8401112690568	CA	#B79F00
#F564E3	37.0408818315715	34.7592331659049	US	#F564E3
#F564E3	28.6229488097131	29.9559369569644	US	#F564E3
#00BFC4	33.1506352297962	30.3330638114363	IN	#00BFC4
#F564E3	31.2706417921931	30.0906089963391	US	#F564E3
#F564E3	36.7716345986351	25.8727116815746	US	#F564E3
#00BA38	36.2787607919425	29.0769274802879	GB	#00BA38
#F564E3	29.3064313417301	23.2049315409735	US	#F564E3
#00BFC4	27.7683977430686	24.2812571883202	IN	#00BFC4
#F564E3	32.3997384103015	27.8755241015926	US	#F564E3
#F564E3	31.2182259175926	30.1954180948436	US	#F564E3
#00BA38	32.2119005410001	21.7322281640023	GB	#00BA38
#F564E3	25.3664602600038	26.8412657894194	US	#F564E3
#F564E3	29.0863234430552	25.6223817899823	US	#F564E3
#F564E3	29.6742093803361	31.1736939370632	US	#F564E3
#F564E3	33.9444572763518	33.9689711838961	US	#F564E3
#F564E3	35.9829829994589	31.169358706288	US	#F564E3
#B79F00	36.1555850870907	27.9955420160666	CA	#B79F00
#F564E3	27.2010182283819	32.3746346510947	US	#F564E3
#00BFC4	34.0328016489744	38.8374776953831	IN	#00BFC4
#F564E3	33.2524345887825	35.1861352844164	US	#F564E3
#F564E3	37.996025993675	27.6460625672713	US	#F564E3
#F564E3	29.0087934695184	28.621133495681	US	#F564E3
#F564E3	37.3109251582995	24.909950402379	US	#F564E3
#F564E3	31.746530662477	31.0830608559772	US	#F564E3
#F564E3	33.7330063000321	29.0490451913327	US	#F564E3
#00BA38	35.0397350391373	32.2758163582534	GB	#00BA38
#00BA38	33.3677849793807	35.0320088310167	GB	#00BA38
#F564E3	28.343719246611	29.1801223510876	US	#F564E3
#F564E3	28.2205711772665	30.7769812127575	US	#F564E3
#F564E3	32.6899411987513	29.1078703923151	US	#F564E3
#00BA38	31.0148356368765	29.0038076227531	GB	#00BA38
#F564E3	25.1352243253961	30.9121819345281	US	#F564E3
#00BA38	34.33651557751	28.0231004429981	GB	#00BA38
#F564E3	35.248138197884	34.0006218558177	US	#F564E3
#F564E3	33.0503200070933	35.0820064991713	US	#F564E3
#F564E3	34.0274629537016	37.0417926983908	US	#F564E3
#F564E3	27.8889158824459	24.2004576176405	US	#F564E3
#F564E3	33.0641536651179	34.1952606337145	US	#F564E3
#F564E3	24.7679678872228	26.3011829260737	US	#F564E3
#F564E3	35.1389601126313	25.1755094507709	US	#F564E3
#F564E3	24.3285596236587	31.6052273930982	US	#F564E3
#F564E3	38.1182541359216	33.7756582072005	US	#F564E3
#F564E3	30.9282643562183	32.1201149508357	US	#F564E3
#F564E3	34.6439142089337	26.2695514321327	US	#F564E3
#F564E3	29.910182833299	29.7825095899403	US	#F564E3
#F564E3	29.6421410802752	28.2740070248023	US	#F564E3
#F564E3	34.1090465804562	30.3770424976945	US	#F564E3
#F564E3	31.8911722037941	28.9235406950116	US	#F564E3
#F564E3	27.7040296880528	28.8439880361781	US	#F564E3
#F564E3	28.0002261755988	31.3956885870546	US	#F564E3
#F564E3	31.8105643842369	29.7963702226058	US	#F564E3
#00BA38	30.3529125722125	34.0184416970238	GB	#00BA38
#F564E3	31.7819023553282	28.688086755015	US	#F564E3
#F564E3	37.1514677356929	31.8619449429214	US	#F564E3
#00BA38	27.8681216342375	29.7498177923262	GB	#00BA38
#F564E3	32.7685774339363	31.6296447008848	US	#F564E3
#00BA38	26.7851804843173	26.0522069055587	GB	#00BA38
#F564E3	28.1420577902347	33.2934506580234	US	#F564E3
#619CFF	28.8375921430066	31.1530840333551	PH	#619CFF
#F564E3	28.2032239938155	30.7253083202988	US	#F564E3
#B79F00	29.7141803285107	28.7390486450866	CA	#B79F00
#F564E3	30.3038106951863	30.3964885864407	US	#F564E3
#F564E3	27.917806757614	25.95404124856	US	#F564E3
#F564E3	32.1430799109861	25.8331459308043	US	#F564E3
#F564E3	33.9051997093484	28.9548439525068	US	#F564E3
#F564E3	34.8235910983756	31.3163876121864	US	#F564E3
#F564E3	28.0567891491577	32.174372667633	US	#F564E3
#F564E3	29.0293293304741	31.2156149765477	US	#F564E3
#F564E3	36.2965818511322	29.14481494762	US	#F564E3
#F564E3	25.6869057424367	29.8652465134859	US	#F564E3
#F8766D	27.6318248845637	25.2313772756606	AU	#F8766D
#F564E3	21.8213065775111	29.7190913449973	US	#F564E3
#F564E3	30.7114838849753	27.1903232179582	US	#F564E3
#B79F00	28.9452525932342	30.2479445066303	CA	#B79F00
#B79F00	37.3440176833421	29.9247262490913	CA	#B79F00
#00BFC4	30.3190463013947	31.7046746822074	IN	#00BFC4
#F564E3	33.266395983845	28.6764810455963	US	#F564E3
#B79F00	23.2687410384417	33.2445770122111	CA	#B79F00
#F564E3	37.671866604127	26.9859863944352	US	#F564E3
#F564E3	24.6982236236334	27.6003031210974	US	#F564E3
#F564E3	33.2629784792662	31.2239034371451	US	#F564E3
#F564E3	37.8919181473553	30.8685938624665	US	#F564E3
#619CFF	35.2772184055299	25.9278005769476	PH	#619CFF
#F564E3	30.8221574194729	32.0187405882403	US	#F564E3
#F564E3	32.8520089700818	35.6302751312032	US	#F564E3
#F8766D	25.3689331054688	30.1483064649627	AU	#F8766D
#00BFC4	30.6937911998481	33.7854692483321	IN	#00BFC4
#F8766D	31.0619495153427	32.9766254041344	AU	#F8766D
#B79F00	31.9962032563984	27.202040277794	CA	#B79F00
#F564E3	35.3171267125756	26.9935281919316	US	#F564E3
#B79F00	37.8115371758118	33.7625911410898	CA	#B79F00
#F8766D	28.2843790665269	22.3647422196344	AU	#F8766D
#F564E3	33.1886958513409	31.2581750500947	US	#F564E3
