colour	x	y	showSelectedlegendcolour	fill
#F564E3	31.0754462789744	31.8960586080328	US	#F564E3
#F564E3	27.7671451300383	28.3287846092135	US	#F564E3
#F564E3	25.7362309044227	25.7913627993315	US	#F564E3
#F564E3	36.7597829289734	28.077864237316	US	#F564E3
#F564E3	30.1881946679205	31.7032204452902	US	#F564E3
#00BFC4	29.9073106436059	34.8468441069126	IN	#00BFC4
#F564E3	35.0393204778433	31.1430589634925	US	#F564E3
#F564E3	32.0275868428871	29.3676159685478	US	#F564E3
#00BFC4	33.9538442069665	31.7443049034104	IN	#00BFC4
#F564E3	32.7168252864853	29.7433978280053	US	#F564E3
#F564E3	32.7564340883866	25.3455340353772	US	#F564E3
#F564E3	32.2481786312535	31.9756132014096	US	#F564E3
#F564E3	30.0327288784087	25.8410133007914	US	#F564E3
#F564E3	27.6880584530532	31.6355769414455	US	#F564E3
#00BA38	31.659205715172	27.8599598741159	GB	#00BA38
#F564E3	23.2318128364161	25.659182083793	US	#F564E3
#F564E3	30.7365869587287	28.2054616248235	US	#F564E3
#F564E3	31.9957806235179	26.7440215397626	US	#F564E3
#B79F00	32.779067279771	32.9665403045714	CA	#B79F00
#F564E3	34.8258095432073	34.6730193682015	US	#F564E3
#F564E3	36.2979693142697	34.0529594467953	US	#F564E3
#F564E3	30.3702161397785	29.9630362177268	US	#F564E3
#F564E3	27.8866340359673	32.2332299534231	US	#F564E3
#F564E3	22.9974739905447	28.694870188646	US	#F564E3
#F564E3	31.3469825202599	31.9366503776982	US	#F564E3
#F564E3	34.0219748411328	30.0981257449836	US	#F564E3
#F564E3	21.9078644348308	32.0546186069027	US	#F564E3
#00BA38	32.6899550681934	30.2861297905445	GB	#00BA38
#F564E3	31.3375949202105	23.3461728930473	US	#F564E3
#00BA38	33.9755920160562	31.095351235196	GB	#00BA38
#F564E3	28.0132289472967	23.9637859519571	US	#F564E3
#F564E3	31.8970265779644	30.7386545704678	US	#F564E3
#F564E3	32.6264123879373	25.1719776680693	US	#F564E3
#F564E3	26.1443269018084	25.6815342891961	US	#F564E3
#F564E3	34.085093877092	34.7343607690185	US	#F564E3
#F564E3	30.6795559365302	28.9884284421802	US	#F564E3
#F564E3	34.1811252765358	27.9720333022997	US	#F564E3
#B79F00	35.0545963676646	33.1859622053802	CA	#B79F00
#F564E3	36.9969525616616	34.8469892641529	US	#F564E3
#F564E3	29.3401053836569	29.9243220303208	US	#F564E3
#00BFC4	32.7131177684292	30.1003759460524	IN	#00BFC4
#F564E3	30.7749478977174	29.9203047109768	US	#F564E3
#F564E3	37.0775466455147	26.0287588035688	US	#F564E3
#00BA38	35.8911494674161	29.1769242957234	GB	#00BA38
#F564E3	29.0727375585586	22.8018028669059	US	#F564E3
#00BFC4	27.7395136760548	23.8174062162638	IN	#00BFC4
#F564E3	31.9950240965933	28.1599137643352	US	#F564E3
#F564E3	31.0189994765446	30.0226770922542	US	#F564E3
#00BA38	32.0221697822213	21.8626589650288	GB	#00BA38
#F564E3	25.1837606212124	26.8268599802628	US	#F564E3
#F564E3	28.7183944178745	25.6407122667879	US	#F564E3
#F564E3	30.0657059192658	31.3609613999724	US	#F564E3
#F564E3	34.2777780303732	34.3308883562684	US	#F564E3
#F564E3	35.7877511098981	31.2989402061328	US	#F564E3
#B79F00	36.2496981993318	28.2626985950395	CA	#B79F00
#F564E3	27.3283917117864	31.7766983158886	US	#F564E3
#00BFC4	33.9987405590713	38.8461327077821	IN	#00BFC4
#F564E3	32.6742468636483	35.1769160596654	US	#F564E3
#F564E3	37.6019130438566	28.2051456039771	US	#F564E3
#F564E3	28.7094698000699	28.6346843928099	US	#F564E3
#F564E3	37.1881929967552	25.0768190186471	US	#F564E3
#F564E3	32.2650475755334	30.8793600900099	US	#F564E3
#F564E3	34.0960590969771	28.691561740078	US	#F564E3
#00BA38	35.1652589265257	31.8008517656475	GB	#00BA38
#00BA38	33.1638026984409	35.2567453773692	GB	#00BA38
#F564E3	28.1064663074911	28.6339434495196	US	#F564E3
#F564E3	28.0174235541374	30.9448568016291	US	#F564E3
#F564E3	33.3953406285495	29.043336956203	US	#F564E3
#00BA38	31.1223169337958	28.8219384396449	GB	#00BA38
#F564E3	24.9848260780796	31.2595749067143	US	#F564E3
#00BA38	34.2380552258343	27.8862702319399	GB	#00BA38
#F564E3	35.0607813194394	33.7392136987299	US	#F564E3
#F564E3	33.161384751834	34.767077546753	US	#F564E3
#F564E3	34.0932571209967	37.2414684478194	US	#F564E3
#F564E3	28.2807091496885	23.9346097860485	US	#F564E3
#F564E3	32.9404643809423	34.0299353595823	US	#F564E3
#F564E3	24.8507410539314	26.2398604519665	US	#F564E3
#F564E3	35.0546724142507	25.0673552848399	US	#F564E3
#F564E3	24.2876028619707	31.9466624386609	US	#F564E3
#F564E3	38.3327304882929	34.3838809253648	US	#F564E3
#F564E3	30.8313928496093	31.9132373962551	US	#F564E3
#F564E3	35.2066599888727	25.9261452224106	US	#F564E3
#F564E3	30.0416290484369	30.0309977391735	US	#F564E3
#F564E3	29.67868727725	28.2150101864711	US	#F564E3
#F564E3	33.9085546687245	30.2085206219927	US	#F564E3
#F564E3	32.2755083478987	28.907406340912	US	#F564E3
#F564E3	27.8938118720427	29.213129010424	US	#F564E3
#F564E3	28.3652019567788	31.2527619753033	US	#F564E3
