fill	x	y	group	xmin	xmax	ymin	ymax
#132B43	10	10	-1	9.5	10.5	9.5	10.5
#132B43	33	18	-1	32.5	33.5	17.5	18.5
#132B43	23	20	-1	22.5	23.5	19.5	20.5
#132B43	36	20	-1	35.5	36.5	19.5	20.5
#132B43	30	21	-1	29.5	30.5	20.5	21.5
#132B43	20	22	-1	19.5	20.5	21.5	22.5
#132B43	25	22	-1	24.5	25.5	21.5	22.5
#132C44	28	22	-1	27.5	28.5	21.5	22.5
#132B43	29	22	-1	28.5	29.5	21.5	22.5
#142D45	27	23	-1	26.5	27.5	22.5	23.5
#132C44	28	23	-1	27.5	28.5	22.5	23.5
#132B43	30	23	-1	29.5	30.5	22.5	23.5
#132B43	31	23	-1	30.5	31.5	22.5	23.5
#132B43	32	23	-1	31.5	32.5	22.5	23.5
#132B43	20	24	-1	19.5	20.5	23.5	24.5
#132B43	27	24	-1	26.5	27.5	23.5	24.5
#132C44	30	24	-1	29.5	30.5	23.5	24.5
#132B43	31	24	-1	30.5	31.5	23.5	24.5
#132B43	35	24	-1	34.5	35.5	23.5	24.5
#132B43	40	24	-1	39.5	40.5	23.5	24.5
#132B43	17	25	-1	16.5	17.5	24.5	25.5
#132B43	20	25	-1	19.5	20.5	24.5	25.5
#132B43	21	25	-1	20.5	21.5	24.5	25.5
#132B43	25	25	-1	24.5	25.5	24.5	25.5
#132B43	26	25	-1	25.5	26.5	24.5	25.5
#142D45	27	25	-1	26.5	27.5	24.5	25.5
#142D45	28	25	-1	27.5	28.5	24.5	25.5
#132C44	29	25	-1	28.5	29.5	24.5	25.5
#132B43	30	25	-1	29.5	30.5	24.5	25.5
#142D46	31	25	-1	30.5	31.5	24.5	25.5
#132C44	32	25	-1	31.5	32.5	24.5	25.5
#132C44	34	25	-1	33.5	34.5	24.5	25.5
#132C44	35	25	-1	34.5	35.5	24.5	25.5
#132B43	38	25	-1	37.5	38.5	24.5	25.5
#132B43	39	25	-1	38.5	39.5	24.5	25.5
#132B43	23	26	-1	22.5	23.5	25.5	26.5
#142D45	24	26	-1	23.5	24.5	25.5	26.5
#132B43	25	26	-1	24.5	25.5	25.5	26.5
#132B43	26	26	-1	25.5	26.5	25.5	26.5
#142D46	27	26	-1	26.5	27.5	25.5	26.5
#132C44	28	26	-1	27.5	28.5	25.5	26.5
#142D45	29	26	-1	28.5	29.5	25.5	26.5
#16314B	30	26	-1	29.5	30.5	25.5	26.5
#142D45	31	26	-1	30.5	31.5	25.5	26.5
#142D45	32	26	-1	31.5	32.5	25.5	26.5
#152E47	33	26	-1	32.5	33.5	25.5	26.5
#132C44	34	26	-1	33.5	34.5	25.5	26.5
#142D45	35	26	-1	34.5	35.5	25.5	26.5
#142D45	36	26	-1	35.5	36.5	25.5	26.5
#132B43	41	26	-1	40.5	41.5	25.5	26.5
#132B43	21	27	-1	20.5	21.5	26.5	27.5
#132B43	23	27	-1	22.5	23.5	26.5	27.5
#132B43	25	27	-1	24.5	25.5	26.5	27.5
#152E47	26	27	-1	25.5	26.5	26.5	27.5
#132C44	27	27	-1	26.5	27.5	26.5	27.5
#152E47	28	27	-1	27.5	28.5	26.5	27.5
#16314B	29	27	-1	28.5	29.5	26.5	27.5
#16314B	30	27	-1	29.5	30.5	26.5	27.5
#152F48	31	27	-1	30.5	31.5	26.5	27.5
#132C44	32	27	-1	31.5	32.5	26.5	27.5
#152F48	33	27	-1	32.5	33.5	26.5	27.5
#142D46	34	27	-1	33.5	34.5	26.5	27.5
#142D46	35	27	-1	34.5	35.5	26.5	27.5
#142D46	37	27	-1	36.5	37.5	26.5	27.5
#132B43	18	28	-1	17.5	18.5	27.5	28.5
#132B43	21	28	-1	20.5	21.5	27.5	28.5
#132B43	22	28	-1	21.5	22.5	27.5	28.5
#142D45	23	28	-1	22.5	23.5	27.5	28.5
#132B43	25	28	-1	24.5	25.5	27.5	28.5
#152F48	26	28	-1	25.5	26.5	27.5	28.5
#142D46	27	28	-1	26.5	27.5	27.5	28.5
#142D46	28	28	-1	27.5	28.5	27.5	28.5
#142D46	29	28	-1	28.5	29.5	27.5	28.5
#16314C	30	28	-1	29.5	30.5	27.5	28.5
#16314B	31	28	-1	30.5	31.5	27.5	28.5
#153049	32	28	-1	31.5	32.5	27.5	28.5
#17344F	33	28	-1	32.5	33.5	27.5	28.5
#142D46	34	28	-1	33.5	34.5	27.5	28.5
#152F48	35	28	-1	34.5	35.5	27.5	28.5
#142D46	36	28	-1	35.5	36.5	27.5	28.5
#132B43	38	28	-1	37.5	38.5	27.5	28.5
#132B43	23	29	-1	22.5	23.5	28.5	29.5
#132C44	24	29	-1	23.5	24.5	28.5	29.5
#142D46	25	29	-1	24.5	25.5	28.5	29.5
#152E47	26	29	-1	25.5	26.5	28.5	29.5
#152E47	27	29	-1	26.5	27.5	28.5	29.5
#193652	28	29	-1	27.5	28.5	28.5	29.5
#17324D	29	29	-1	28.5	29.5	28.5	29.5
#153049	30	29	-1	29.5	30.5	28.5	29.5
#183550	31	29	-1	30.5	31.5	28.5	29.5
#1A3854	32	29	-1	31.5	32.5	28.5	29.5
#16314C	33	29	-1	32.5	33.5	28.5	29.5
#17324D	34	29	-1	33.5	34.5	28.5	29.5
#17334E	35	29	-1	34.5	35.5	28.5	29.5
#132C44	36	29	-1	35.5	36.5	28.5	29.5
#132B43	37	29	-1	36.5	37.5	28.5	29.5
#132C44	38	29	-1	37.5	38.5	28.5	29.5
#132B43	39	29	-1	38.5	39.5	28.5	29.5
#132B43	40	29	-1	39.5	40.5	28.5	29.5
#132B43	20	30	-1	19.5	20.5	29.5	30.5
#132B43	22	30	-1	21.5	22.5	29.5	30.5
#132B43	23	30	-1	22.5	23.5	29.5	30.5
#142D45	24	30	-1	23.5	24.5	29.5	30.5
#152E47	25	30	-1	24.5	25.5	29.5	30.5
#152F48	26	30	-1	25.5	26.5	29.5	30.5
#152F48	27	30	-1	26.5	27.5	29.5	30.5
#193652	28	30	-1	27.5	28.5	29.5	30.5
#17344F	29	30	-1	28.5	29.5	29.5	30.5
#1A3A57	30	30	-1	29.5	30.5	29.5	30.5
#1A3854	31	30	-1	30.5	31.5	29.5	30.5
#183550	32	30	-1	31.5	32.5	29.5	30.5
#193753	33	30	-1	32.5	33.5	29.5	30.5
#17334E	34	30	-1	33.5	34.5	29.5	30.5
#152F48	35	30	-1	34.5	35.5	29.5	30.5
#152F48	36	30	-1	35.5	36.5	29.5	30.5
#142D45	37	30	-1	36.5	37.5	29.5	30.5
#132B43	38	30	-1	37.5	38.5	29.5	30.5
#132C44	39	30	-1	38.5	39.5	29.5	30.5
#132C44	41	30	-1	40.5	41.5	29.5	30.5
#132C44	21	31	-1	20.5	21.5	30.5	31.5
#132C44	23	31	-1	22.5	23.5	30.5	31.5
#142D46	25	31	-1	24.5	25.5	30.5	31.5
#142D45	26	31	-1	25.5	26.5	30.5	31.5
#152E47	27	31	-1	26.5	27.5	30.5	31.5
#152E47	28	31	-1	27.5	28.5	30.5	31.5
#16314C	29	31	-1	28.5	29.5	30.5	31.5
#1A3A57	30	31	-1	29.5	30.5	30.5	31.5
#193652	31	31	-1	30.5	31.5	30.5	31.5
#1B3A58	32	31	-1	31.5	32.5	30.5	31.5
#183550	33	31	-1	32.5	33.5	30.5	31.5
#183550	34	31	-1	33.5	34.5	30.5	31.5
#17334E	35	31	-1	34.5	35.5	30.5	31.5
#152F48	36	31	-1	35.5	36.5	30.5	31.5
#142D46	37	31	-1	36.5	37.5	30.5	31.5
#142D45	38	31	-1	37.5	38.5	30.5	31.5
#132C44	39	31	-1	38.5	39.5	30.5	31.5
#132B43	20	32	-1	19.5	20.5	31.5	32.5
#132B43	22	32	-1	21.5	22.5	31.5	32.5
#132B43	23	32	-1	22.5	23.5	31.5	32.5
