colour	fill	y	x	density	scaled	count	n	showSelectedlegendcolourfill	group	ymin	ymax
#F8766D	#F8766D	3.70119450882234e-16	0	3.70119450882234e-16	6.03321169374925e-15	3.60496345159296e-13	974	AU	1	0	3.70119450882234e-16
#B79F00	#B79F00	1.44652732429646e-18	0	1.44652732429646e-18	2.28827491790661e-17	1.33659124764993e-15	924	CA	2	0	1.44652732429646e-18
#00BA38	#00BA38	2.95644722903937e-18	0	2.95644722903937e-18	4.39101356673739e-17	4.52632070765927e-15	1531	GB	3	0	2.95644722903937e-18
#00BFC4	#00BFC4	0.000193557261899551	0	0.000193557261899551	0.0034712348571287	0.283367831420942	1464	IN	4	0	0.000193557261899551
#619CFF	#619CFF	9.32684491799101e-19	0	9.32684491799101e-19	1.54353911435043e-17	6.05312235177616e-16	649	PH	5	0	9.32684491799101e-19
#F564E3	#F564E3	2.31081411086659e-18	0	2.31081411086659e-18	3.75365619532302e-17	2.02265559124153e-14	8753	US	6	0	2.31081411086659e-18
#F8766D	#F8766D	6.16797034727111e-16	0.0978473581213307	6.16797034727111e-16	1.00542326908658e-14	6.00760311824206e-13	974	AU	1	0	6.16797034727111e-16
#B79F00	#B79F00	5.6519929104679e-18	0.0978473581213307	5.6519929104679e-18	8.94093972231044e-17	5.22244144927234e-15	924	CA	2	0	5.6519929104679e-18
#00BA38	#00BA38	3.57224822956495e-18	0.0978473581213307	3.57224822956495e-18	5.30562165483672e-17	5.46911203946394e-15	1531	GB	3	0	3.57224822956495e-18
#00BFC4	#00BFC4	0.000192996330440074	0.0978473581213307	0.000192996330440074	0.00346117517341811	0.282546627764268	1464	IN	4	0	0.000192996330440074
#619CFF	#619CFF	3.48464069750738e-18	0.0978473581213307	3.48464069750738e-18	5.76687965046444e-17	2.26153181268229e-15	649	PH	5	0	3.48464069750738e-18
#F564E3	#F564E3	0	0.0978473581213307	0	0	0	8753	US	6	0	0
#F8766D	#F8766D	1.03708643127377e-15	0.195694716242661	1.03708643127377e-15	1.69052503716711e-14	1.01012218406065e-12	974	AU	1	0	1.03708643127377e-15
#B79F00	#B79F00	9.30946887735941e-18	0.195694716242661	9.30946887735941e-18	1.47267346930032e-16	8.6019492426801e-15	924	CA	2	0	9.30946887735941e-18
#00BA38	#00BA38	5.09542525583086e-18	0.195694716242661	5.09542525583086e-18	7.56789473760355e-17	7.80109606667705e-15	1531	GB	3	0	5.09542525583086e-18
#00BFC4	#00BFC4	0.000191560531337538	0.195694716242661	0.000191560531337538	0.00343542570866724	0.280444617878155	1464	IN	4	0	0.000191560531337538
#619CFF	#619CFF	5.24964565540965e-18	0.195694716242661	5.24964565540965e-18	8.68786119727824e-17	3.40702003036086e-15	649	PH	5	0	5.24964565540965e-18
#F564E3	#F564E3	0	0.195694716242661	0	0	0	8753	US	6	0	0
#F8766D	#F8766D	1.78389721489069e-15	0.293542074363992	1.78389721489069e-15	2.90788001324193e-14	1.73751588730354e-12	974	AU	1	0	1.78389721489069e-15
#B79F00	#B79F00	5.52269638473988e-18	0.293542074363992	5.52269638473988e-18	8.73640435555558e-17	5.10297145949965e-15	924	CA	2	0	5.52269638473988e-18
#00BA38	#00BA38	3.30484141230535e-18	0.293542074363992	3.30484141230535e-18	4.90846017301095e-17	5.05971220223948e-15	1531	GB	3	0	3.30484141230535e-18
#00BFC4	#00BFC4	0.000189269345081634	0.293542074363992	0.000189269345081634	0.00339433582385684	0.277090321199511	1464	IN	4	0	0.000189269345081634
#619CFF	#619CFF	1.72784174614132e-18	0.293542074363992	1.72784174614132e-18	2.85947857182891e-17	1.12136929324571e-15	649	PH	5	0	1.72784174614132e-18
#F564E3	#F564E3	0	0.293542074363992	0	0	0	8753	US	6	0	0
#F8766D	#F8766D	3.03339113636166e-15	0.391389432485323	3.03339113636166e-15	4.9446444470803e-14	2.95452296681626e-12	974	AU	1	0	3.03339113636166e-15
#B79F00	#B79F00	4.305075028774e-18	0.391389432485323	4.305075028774e-18	6.81023790051175e-17	3.97788932658718e-15	924	CA	2	0	4.305075028774e-18
#00BA38	#00BA38	3.68513649683218e-18	0.391389432485323	3.68513649683218e-18	5.47328705681888e-17	5.64194397665008e-15	1531	GB	3	0	3.68513649683218e-18
#00BFC4	#00BFC4	0.000186149732911057	0.391389432485323	0.000186149732911057	0.00333838903890568	0.272523208981787	1464	IN	4	0	0.000186149732911057
#619CFF	#619CFF	3.1319644872605e-18	0.391389432485323	3.1319644872605e-18	5.1832208355024e-17	2.03264495223207e-15	649	PH	5	0	3.1319644872605e-18
#F564E3	#F564E3	0	0.391389432485323	0	0	0	8753	US	6	0	0
#F8766D	#F8766D	5.07707711313931e-15	0.489236790606654	5.07707711313931e-15	8.27599871772345e-14	4.94507310819769e-12	974	AU	1	0	5.07707711313931e-15
