colour	x	y	showSelectedlegendcolour	fill
#F564E3	31.2795081671327	32.1268545916304	US	#F564E3
#F564E3	28.0352688020095	27.9712728166953	US	#F564E3
#F564E3	26.3418397052214	26.0491335375235	US	#F564E3
#F564E3	37.0303645441309	28.0574814535677	US	#F564E3
#F564E3	30.1425345795229	32.1027648467571	US	#F564E3
#00BFC4	30.0204566730186	35.0810652302578	IN	#00BFC4
#F564E3	35.3836273590103	30.6554416786879	US	#F564E3
#F564E3	31.7060224745423	29.2947455285117	US	#F564E3
#00BFC4	34.0149726176634	31.9290012843907	IN	#00BFC4
#F564E3	32.7672614766285	29.8231599403545	US	#F564E3
#F564E3	32.8153272045776	25.0659691054374	US	#F564E3
#F564E3	32.386276996322	31.9557532733306	US	#F564E3
#F564E3	30.1130914876238	25.8596948243678	US	#F564E3
#F564E3	28.3326994724572	31.7257531050593	US	#F564E3
#00BA38	32.3834734678269	28.0216849559918	GB	#00BA38
#F564E3	23.062724073045	25.6654989633709	US	#F564E3
#F564E3	31.3918467054144	28.203664697893	US	#F564E3
#F564E3	32.2200024325401	27.0817558526993	US	#F564E3
#B79F00	33.0620114635676	32.798981343396	CA	#B79F00
#F564E3	34.8243791131303	35.2542893005535	US	#F564E3
#F564E3	35.9906217757613	34.157801451534	US	#F564E3
#F564E3	29.9859534000978	30.3129156569019	US	#F564E3
#F564E3	28.0090318407863	32.1255120472983	US	#F564E3
#F564E3	22.660773819685	28.8912854880095	US	#F564E3
#F564E3	30.9319903982803	31.8160671098158	US	#F564E3
#F564E3	33.6817854892463	29.9522906739265	US	#F564E3
#F564E3	21.6479577943683	32.0039170190692	US	#F564E3
#00BA38	33.0148881483823	30.1379018967971	GB	#00BA38
#F564E3	31.3743385633454	23.1812273887917	US	#F564E3
#00BA38	34.2578716076911	30.6145291009918	GB	#00BA38
#F564E3	27.7822947299108	23.9728436650708	US	#F564E3
#F564E3	31.7192692320794	30.7048601051793	US	#F564E3
#F564E3	32.6371481062844	25.0137227503583	US	#F564E3
#F564E3	25.7314028009772	26.3644672844559	US	#F564E3
#F564E3	33.7422244330868	34.8805241582915	US	#F564E3
#F564E3	30.7978467540816	28.9403360815719	US	#F564E3
#F564E3	34.0609408739954	27.8981748767197	US	#F564E3
#B79F00	35.0648192413151	32.932021288015	CA	#B79F00
