colour	x	y	showSelectedlegendcolour	fill
#F564E3	31.3703528275713	31.6698692440987	US	#F564E3
#F564E3	27.9504860972986	28.3776838438585	US	#F564E3
#F564E3	26.0293172009289	26.063400958851	US	#F564E3
#F564E3	37.3055628923699	28.1436074959114	US	#F564E3
#F564E3	29.6108892349526	31.7284633055329	US	#F564E3
#00BFC4	30.1226009238511	35.0958906723186	IN	#00BFC4
#F564E3	34.9421749081463	30.8389621997252	US	#F564E3
#F564E3	32.3289385480806	29.0129370080307	US	#F564E3
#00BFC4	33.8045444833115	32.2758177768439	IN	#00BFC4
#F564E3	33.0401644555852	29.777923268266	US	#F564E3
#F564E3	33.3283263711259	25.1237019756809	US	#F564E3
#F564E3	31.9964727373794	32.3689903769642	US	#F564E3
#F564E3	30.1303222525865	26.1517705028877	US	#F564E3
#F564E3	27.8667388852686	31.6359434867278	US	#F564E3
#00BA38	31.8944886265323	27.7856198545545	GB	#00BA38
#F564E3	22.6913144947961	25.9497177727521	US	#F564E3
#F564E3	30.9685370858759	28.1835302148014	US	#F564E3
#F564E3	31.8521969221532	27.3479690240696	US	#F564E3
#B79F00	32.8189805401489	33.3028377264738	CA	#B79F00
#F564E3	34.7583154467866	35.0137053420767	US	#F564E3
#F564E3	35.7775354279205	34.1813345747069	US	#F564E3
#F564E3	30.3145452221856	30.1605349531397	US	#F564E3
#F564E3	28.2320234302431	32.177678273432	US	#F564E3
#F564E3	23.3959334263578	28.7069840170443	US	#F564E3
#F564E3	30.9351088384166	32.1782751634717	US	#F564E3
#F564E3	34.1985188325867	29.7216883039102	US	#F564E3
#F564E3	21.9852446034551	31.8941566521302	US	#F564E3
#00BA38	32.8369993174449	30.053676147759	GB	#00BA38
#F564E3	31.1271001648158	22.6788123739883	US	#F564E3
#00BA38	34.3179123843089	30.7123837286606	GB	#00BA38
#F564E3	28.3840366953984	23.964288848266	US	#F564E3
#F564E3	32.0322041267529	31.083686054498	US	#F564E3
#F564E3	33.0567859958857	24.6921019362286	US	#F564E3
#F564E3	26.0031544787809	25.6138045310974	US	#F564E3
#F564E3	33.6037583045661	34.9910539092496	US	#F564E3
#F564E3	30.845366560854	28.6469917563722	US	#F564E3
#F564E3	34.2767258573324	27.8787956994027	US	#F564E3
#B79F00	34.913277819939	33.1667311595753	CA	#B79F00
#F564E3	37.3567467276007	35.3050540756434	US	#F564E3
#F564E3	28.9474702697247	29.9022003397346	US	#F564E3
#00BFC4	33.2589783206582	30.0713260652497	IN	#00BFC4
#F564E3	31.3092330992222	29.9759975198656	US	#F564E3
#F564E3	36.854413879849	25.6111957278103	US	#F564E3
#00BA38	35.8439239719883	28.7606185110286	GB	#00BA38
#F564E3	29.2408288063481	22.7003029571846	US	#F564E3
#00BFC4	27.6887446587905	23.8082782741636	IN	#00BFC4
#F564E3	31.9283959081396	28.3862143442035	US	#F564E3
#F564E3	31.2362898502499	29.8039351226762	US	#F564E3
#00BA38	31.7378948653117	21.7258841674775	GB	#00BA38
#F564E3	24.9896515233442	26.8030304444954	US	#F564E3
#F564E3	29.1279415683821	26.2960185024887	US	#F564E3
#F564E3	30.008021534048	31.2631442524493	US	#F564E3
#F564E3	33.6061740305275	34.0178931873292	US	#F564E3
#F564E3	35.6747830117121	31.092113099061	US	#F564E3
#B79F00	36.230202797614	28.3234719866887	CA	#B79F00
#F564E3	27.3279743008316	32.1197449402884	US	#F564E3
#00BFC4	33.9498227443546	39.2739405367523	IN	#00BFC4
#F564E3	33.1071255752817	35.3043543893844	US	#F564E3
#F564E3	38.32879248932	27.8303955731914	US	#F564E3
#F564E3	29.2077740790322	28.7574782188982	US	#F564E3
#F564E3	36.6511377947405	24.8398505855352	US	#F564E3
#F564E3	31.8177019452676	30.639958483167	US	#F564E3
#F564E3	33.6206881178543	29.1864963565022	US	#F564E3
#00BA38	34.7253614339978	32.0299302319065	GB	#00BA38
#00BA38	32.635611500591	34.7013743875548	GB	#00BA38
#F564E3	27.6677246073261	29.1056851565838	US	#F564E3
#F564E3	28.3511712495238	30.6739924265072	US	#F564E3
#F564E3	33.0588637607172	29.1002191014588	US	#F564E3
#00BA38	30.818228880316	29.1235109589994	GB	#00BA38
#F564E3	24.828730189614	31.2546203967184	US	#F564E3
#00BA38	33.6281969446689	28.1481868272647	GB	#00BA38
#F564E3	35.2079849330708	33.9379547173157	US	#F564E3
#F564E3	32.7790616482496	34.7836150631309	US	#F564E3
#F564E3	33.7348056463525	36.8846807012335	US	#F564E3
#F564E3	28.2627318410203	23.7584786906838	US	#F564E3
#F564E3	32.7941664965823	34.2116890752688	US	#F564E3
#F564E3	24.7681603908539	26.2062350077555	US	#F564E3
#F564E3	35.2405293861404	25.3829934285954	US	#F564E3
#F564E3	23.6181758185849	31.6067570475861	US	#F564E3
#F564E3	38.2861355923116	33.7524255722761	US	#F564E3
#F564E3	31.1898951297626	31.7833981746808	US	#F564E3
#F564E3	34.6654357163236	26.0474549572915	US	#F564E3
#F564E3	30.1236598502845	29.8638269793242	US	#F564E3
#F564E3	30.0002100246027	27.840264965035	US	#F564E3
#F564E3	33.6408551102504	30.209276640974	US	#F564E3
#F564E3	32.3656173029915	28.61428455282	US	#F564E3
#F564E3	27.9740455467254	29.2069801127538	US	#F564E3
#F564E3	28.3366421649233	30.7502424711362	US	#F564E3
#F564E3	32.3349674457684	30.1861753391102	US	#F564E3
#00BA38	29.7562497185543	33.9477223679423	GB	#00BA38
#F564E3	32.1383265562356	29.3120741581544	US	#F564E3
#F564E3	37.3397625029087	31.8469890395179	US	#F564E3
#00BA38	27.9633121924475	29.9987233122811	GB	#00BA38
#F564E3	33.1872977674007	32.2786773629487	US	#F564E3
#00BA38	26.7329562839121	25.8479097001255	GB	#00BA38
#F564E3	28.3350940402597	32.7670086057857	US	#F564E3
