colour	x	y	showSelectedlegendcolour	fill
#F564E3	19	56	US	#F564E3
#F564E3	28	51	US	#F564E3
#F564E3	34	45	US	#F564E3
#F564E3	33	59	US	#F564E3
#F564E3	28	55	US	#F564E3
#00BFC4	20	59	IN	#00BFC4
#F564E3	36	64	US	#F564E3
#F564E3	30	62	US	#F564E3
#00BFC4	31	61	IN	#00BFC4
#F564E3	27	58	US	#F564E3
#F564E3	34	57	US	#F564E3
#F564E3	30	60	US	#F564E3
#F564E3	25	57	US	#F564E3
#F564E3	28	61	US	#F564E3
#00BA38	24	55	GB	#00BA38
#F564E3	26	56	US	#F564E3
#F564E3	19	55	US	#F564E3
#F564E3	30	59	US	#F564E3
#B79F00	26	62	CA	#B79F00
#F564E3	25	70	US	#F564E3
#F564E3	35	60	US	#F564E3
#F564E3	25	58	US	#F564E3
#F564E3	37	64	US	#F564E3
#F564E3	34	58	US	#F564E3
#F564E3	27	66	US	#F564E3
#F564E3	26	55	US	#F564E3
#F564E3	32	60	US	#F564E3
#00BA38	32	57	GB	#00BA38
#F564E3	34	57	US	#F564E3
#00BA38	25	64	GB	#00BA38
#F564E3	28	53	US	#F564E3
#F564E3	27	62	US	#F564E3
#F564E3	29	56	US	#F564E3
#F564E3	22	55	US	#F564E3
#F564E3	38	59	US	#F564E3
#F564E3	33	61	US	#F564E3
#F564E3	37	58	US	#F564E3
#B79F00	35	68	CA	#B79F00
#F564E3	29	67	US	#F564E3
#F564E3	29	61	US	#F564E3
#00BFC4	20	55	IN	#00BFC4
#F564E3	41	63	US	#F564E3
#F564E3	32	60	US	#F564E3
#00BA38	42	69	GB	#00BA38
#F564E3	35	56	US	#F564E3
#00BFC4	18	48	IN	#00BFC4
#F564E3	30	57	US	#F564E3
#F564E3	30	64	US	#F564E3
#00BA38	31	49	GB	#00BA38
#F564E3	28	63	US	#F564E3
#F564E3	31	60	US	#F564E3
#F564E3	26	55	US	#F564E3
#F564E3	36	67	US	#F564E3
#F564E3	23	56	US	#F564E3
#B79F00	21	60	CA	#B79F00
#F564E3	28	64	US	#F564E3
#00BFC4	43	74	IN	#00BFC4
#F564E3	22	62	US	#F564E3
#F564E3	35	56	US	#F564E3
#F564E3	22	55	US	#F564E3
#F564E3	36	59	US	#F564E3
#F564E3	27	69	US	#F564E3
#F564E3	33	63	US	#F564E3
#00BA38	31	67	GB	#00BA38
#00BA38	41	63	GB	#00BA38
#F564E3	28	58	US	#F564E3
#F564E3	27	63	US	#F564E3
#F564E3	28	59	US	#F564E3
#00BA38	33	56	GB	#00BA38
#F564E3	21	66	US	#F564E3
#00BA38	26	55	GB	#00BA38
#F564E3	31	59	US	#F564E3
#F564E3	30	66	US	#F564E3
#F564E3	26	69	US	#F564E3
#F564E3	35	55	US	#F564E3
#F564E3	28	70	US	#F564E3
#F564E3	22	52	US	#F564E3
#F564E3	35	57	US	#F564E3
#F564E3	37	60	US	#F564E3
#F564E3	14	59	US	#F564E3
#F564E3	22	59	US	#F564E3
#F564E3	28	57	US	#F564E3
#F564E3	29	57	US	#F564E3
#F564E3	31	60	US	#F564E3
#F564E3	26	63	US	#F564E3
#F564E3	25	57	US	#F564E3
#F564E3	21	59	US	#F564E3
#F564E3	36	65	US	#F564E3
#F564E3	30	63	US	#F564E3
#00BA38	29	63	GB	#00BA38
#F564E3	32	60	US	#F564E3
#F564E3	26	58	US	#F564E3
#00BA38	25	58	GB	#00BA38
#F564E3	25	61	US	#F564E3
